merchant_key,merchant_name,category,address,longitude,latitude,avg_price_cent,merchant_rating,business_status,review_key,review_content,review_rating,reviewed_at,author_ref,tags,owner_username
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r00,环境超赞，味道也加分。,4.4,2026-06-10T20:00:00,食客_001_01,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r01,种类很丰富，味道随便点都不踩雷。,4.4,2026-05-22T21:00:00,食客_001_02,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r02,等了快一个小时，上菜等了一个小时，体验极差。,1.1,2026-06-12T02:00:00,食客_001_03,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r03,位置好找，味道值得专门跑一趟。,4.9,2026-04-13T21:00:00,食客_001_04,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r04,路过随便吃吃的，新鲜度中规中矩。,3.4,2026-07-08T22:00:00,食客_001_05,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r05,看评价挺高来的，实际出餐速度没有描述得好。,2.9,2026-05-20T00:00:00,食客_001_06,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r06,性价比很高，味道在这个价位无对手。,4.2,2026-04-19T15:00:00,食客_001_07,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r07,说是现做的但明显是预制菜，上菜等了一个小时，太假了。,1.2,2026-06-21T00:00:00,食客_001_08,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r08,环境超赞，性价比也加分。,4.9,2026-06-28T14:00:00,食客_001_09,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r09,食材非常新鲜，新鲜度一吃就知道是当天到的。,4.4,2026-06-14T04:00:00,食客_001_10,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r10,路过随便吃吃的，出餐速度中规中矩。,3.2,2026-06-23T03:00:00,食客_001_11,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r11,食材非常新鲜，品种一吃就知道是当天到的。,4.6,2026-05-02T21:00:00,食客_001_12,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r12,环境超赞，出餐速度也加分。,4.8,2026-05-05T19:00:00,食客_001_13,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r13,凑合能吃，出餐速度填饱肚子没问题。,2.5,2026-06-24T17:00:00,食客_001_14,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r14,种类很丰富，品种随便点都不踩雷。,4.7,2026-05-03T01:00:00,食客_001_15,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r15,食材不新鲜，上菜等了一个小时，吃完还拉肚子了。,1.1,2026-04-23T16:00:00,食客_001_16,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r16,清蒸的做法保留了原味，品种太鲜美了。,4.4,2026-05-22T00:00:00,食客_001_17,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r17,食材不新鲜，价格虚高，吃完还拉肚子了。,1.3,2026-05-22T15:00:00,食客_001_18,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r18,位置好找，性价比值得专门跑一趟。,4.9,2026-06-29T02:00:00,食客_001_19,海鲜,demo-merchant
seafood-m00,海味坊海鲜酒楼,海鲜,锦江区滨江路66号,104.083,30.65,12800,4.5,OPEN,seafood-m00-r19,说是现做的但明显是预制菜，价格虚高，太假了。,1.7,2026-06-01T00:00:00,食客_001_20,海鲜,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r00,一般般吧，卫生没有什么特别惊艳的地方。,3.6,2026-07-02T00:00:00,食客_002_01,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r01,看评价挺高来的，实际新鲜度没有描述得好。,3.4,2026-07-01T20:00:00,食客_002_02,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r02,价格不算贵，味道还算对得起价格。,3.4,2026-05-12T23:00:00,食客_002_03,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r03,位置好找，出餐速度值得专门跑一趟。,4.8,2026-05-19T15:00:00,食客_002_04,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r04,不算难吃，但卫生也没什么亮点。,2.5,2026-06-04T00:00:00,食客_002_05,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r05,价格不算贵，新鲜度还算对得起价格。,2.9,2026-06-10T19:00:00,食客_002_06,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r06,不算难吃，但卫生也没什么亮点。,3.5,2026-06-20T23:00:00,食客_002_07,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r07,口感非常好，味道让人欲罢不能。,4.5,2026-05-01T15:00:00,食客_002_08,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r08,一般般吧，新鲜度没有什么特别惊艳的地方。,2.8,2026-06-07T15:00:00,食客_002_09,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r09,不算难吃，但新鲜度也没什么亮点。,2.8,2026-04-11T20:00:00,食客_002_10,生蚝,demo-merchant
seafood-m01,蚝门夜宵,海鲜,武侯区科华北路88号,104.065,30.558,8800,4.3,OPEN,seafood-m01-r10,食材非常新鲜，出餐速度一吃就知道是当天到的。,4.6,2026-04-28T20:00:00,食客_002_11,生蚝,demo-merchant
